Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:15:07,2019-01-01 18:15:07,0.888s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:15:07,2019-01-01 18:15:07,0.005s,PASSED
,,,,,,
Test Cases/header/How it Works,Chrome 71.0.3578.98,,2019-01-01 18:15:07,2019-01-01 18:15:33,25.611s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:15:08,2019-01-01 18:15:10,2.403s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:15:10,2019-01-01 18:15:25,14.647s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:15:25,2019-01-01 18:15:26,1.160s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:26,2019-01-01 18:15:29,3.002s,PASSED
"click(findTestObject(""Object Repository/How it Works/Page_Chiragh/a_How it Works""))",Chrome 71.0.3578.98,,2019-01-01 18:15:29,2019-01-01 18:15:29,0.161s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:29,2019-01-01 18:15:32,3.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/How it Works/Page_Chiragh/div_Seller  Buyer Process""), 5)",Chrome 71.0.3578.98,,2019-01-01 18:15:32,2019-01-01 18:15:32,0.081s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:15:32,2019-01-01 18:15:33,0.868s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:15:33,2019-01-01 18:15:33,0.007s,PASSED
,,,,,,
Test Cases/header/repurchase,Chrome 71.0.3578.98,,2019-01-01 18:15:33,2019-01-01 18:16:00,26.768s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:15:33,2019-01-01 18:15:36,2.355s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:15:36,2019-01-01 18:15:52,15.886s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:15:52,2019-01-01 18:15:53,1.199s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:53,2019-01-01 18:15:56,3.002s,PASSED
"click(findTestObject(""Object Repository/repurchase/Page_Chiragh/a_Repurchase""))",Chrome 71.0.3578.98,,2019-01-01 18:15:56,2019-01-01 18:15:56,0.152s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:56,2019-01-01 18:15:59,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/repurchase/Page_Chiragh/div_BUY BACK OR REPURCHASE AGR""), 5)",Chrome 71.0.3578.98,,2019-01-01 18:15:59,2019-01-01 18:15:59,0.082s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:15:59,2019-01-01 18:16:00,0.829s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:16:00,2019-01-01 18:16:00,0.004s,PASSED
,,,,,,
Test Cases/header/resources,Chrome 71.0.3578.98,,2019-01-01 18:16:00,2019-01-01 18:16:26,26.393s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:16:00,2019-01-01 18:16:03,2.377s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:16:03,2019-01-01 18:16:18,15.441s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:16:18,2019-01-01 18:16:19,1.175s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:16:19,2019-01-01 18:16:22,3.004s,PASSED
"click(findTestObject(""Object Repository/RESOURCES/Page_Chiragh/a_Resources""))",Chrome 71.0.3578.98,,2019-01-01 18:16:22,2019-01-01 18:16:22,0.234s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:16:22,2019-01-01 18:16:25,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/RESOURCES/Page_Chiragh/div_Resources""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:16:25,2019-01-01 18:16:25,0.071s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:16:25,2019-01-01 18:16:26,0.812s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:16:26,2019-01-01 18:16:26,0.006s,PASSED
,,,,,,
Test Cases/header/Sell,Chrome 71.0.3578.98,,2019-01-01 18:16:26,2019-01-01 18:16:53,26.924s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:16:27,2019-01-01 18:16:29,2.427s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:16:29,2019-01-01 18:16:41,12.251s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:16:41,2019-01-01 18:16:42,1.125s,PASSED
