Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:16:13,2018-12-31 13:16:13,0.003s,PASSED
,,,,,,
Test Cases/home page/view property,Chrome 71.0.3578.98,,2018-12-31 13:16:13,2018-12-31 13:16:37,23.458s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:16:14,2018-12-31 13:16:16,2.429s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:16:16,2018-12-31 13:16:28,12.469s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:16:28,2018-12-31 13:16:30,1.126s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:16:30,2018-12-31 13:16:33,3.003s,PASSED
"click(findTestObject(""Object Repository/view property/Page_Chiragh/img""))",Chrome 71.0.3578.98,,2018-12-31 13:16:33,2018-12-31 13:16:33,0.265s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:16:33,2018-12-31 13:16:36,3.008s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/view property/Page_Chiragh/ul_PROPERTY DESCRIPTION""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:16:36,2018-12-31 13:16:36,0.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/view property/Page_Chiragh/div_Exit VR""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:16:36,2018-12-31 13:16:36,0.051s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:16:36,2018-12-31 13:16:37,0.783s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:16:37,2018-12-31 13:16:37,0.007s,PASSED
,,,,,,
Test Cases/footer/Buy a property,Chrome 71.0.3578.98,,2018-12-31 13:16:37,2018-12-31 13:17:04,27.310s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:16:37,2018-12-31 13:16:39,2.334s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:16:39,2018-12-31 13:16:52,12.621s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:16:52,2018-12-31 13:16:53,1.161s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-31 13:16:53,2018-12-31 13:16:58,5.004s,PASSED
"click(findTestObject(""Object Repository/Buy a property/Page_Chiragh/a_-Buy a property""))",Chrome 71.0.3578.98,,2018-12-31 13:16:58,2018-12-31 13:16:58,0.145s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-31 13:16:58,2018-12-31 13:17:03,5.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Buy a property/Page_Chiragh/div_Current Auctions        Ac""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:17:03,2018-12-31 13:17:03,0.051s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:17:03,2018-12-31 13:17:04,0.776s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:17:04,2018-12-31 13:17:04,0.006s,PASSED
,,,,,,
Test Cases/footer/contact us-footer,Chrome 71.0.3578.98,,2018-12-31 13:17:04,2018-12-31 13:17:28,23.967s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:17:04,2018-12-31 13:17:07,2.231s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:17:07,2018-12-31 13:17:19,12.700s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:17:19,2018-12-31 13:17:20,1.158s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:17:20,2018-12-31 13:17:23,3.002s,PASSED
"click(findTestObject(""Object Repository/Contact Us-footer/Page_Chiragh/a_-Contact Us""))",Chrome 71.0.3578.98,,2018-12-31 13:17:23,2018-12-31 13:17:24,0.160s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:17:24,2018-12-31 13:17:27,3.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us-footer/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:17:27,2018-12-31 13:17:27,0.608s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:17:27,2018-12-31 13:17:28,0.840s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:17:28,2018-12-31 13:17:28,0.006s,PASSED
,,,,,,
Test Cases/footer/Disclaimer-footer,Chrome 71.0.3578.98,,2018-12-31 13:17:28,2018-12-31 13:17:52,23.769s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:17:28,2018-12-31 13:17:31,2.342s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:17:31,2018-12-31 13:17:44,12.939s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:17:44,2018-12-31 13:17:45,1.155s,PASSED
